node_id,n,tmin,tmax,rssi_moy,snr_moy,rssi_med,t_moy,h_moy
1,995,2026-08-24 17:52:27.050767+00,2026-08-27 21:50:39.111286+00,-62.3,9.77,-64.0,24.88,63.07
2,1082,2026-08-24 17:28:21.684877+00,2026-08-27 21:50:35.339161+00,-83.9,3.78,-98.0,28.59,54.84
