node_id,n,tmin,tmax,rssi_moy,snr_moy,w0_moy,w1_moy,w2_moy,w3_moy
1,197,2026-08-27 18:34:39.876218+00,2026-08-27 21:50:39.517814+00,-63.7,9.87,0.612271,0.312437,0.015937,0.026766
2,195,2026-08-27 18:35:36.257738+00,2026-08-27 21:50:35.802668+00,-97.6,1.48,0.598896,0.047696,0.080444,0.153061
