id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
363,2,728,32,0,0.533202,0.0526,0.091735,0.175816,-101,1.75,t,2026-08-27 21:36:35.829481+00
364,1,756,32,0,0.611501,0.312181,0.015877,0.027309,-65,10,t,2026-08-27 21:36:39.529829+00
365,2,732,32,0,0.532908,0.052435,0.091841,0.176038,-100,1.5,t,2026-08-27 21:37:35.826334+00
366,1,760,32,0,0.611484,0.312185,0.015879,0.027311,-66,9.75,t,2026-08-27 21:37:39.487518+00
367,2,736,32,0,0.532576,0.052068,0.091728,0.175926,-100,1.75,t,2026-08-27 21:38:35.855687+00
368,1,764,32,0,0.611468,0.312184,0.01588,0.027311,-65,9.75,t,2026-08-27 21:38:39.652055+00
369,2,740,32,0,0.532334,0.051949,0.091707,0.176088,-100,1.5,t,2026-08-27 21:39:35.822626+00
370,1,768,32,0,0.611456,0.312186,0.015881,0.027311,-66,9.25,t,2026-08-27 21:39:39.452414+00
371,2,744,32,0,0.532031,0.051769,0.091657,0.176244,-100,1.5,t,2026-08-27 21:40:35.82275+00
372,1,772,32,0,0.611451,0.312182,0.015879,0.027308,-66,9.5,t,2026-08-27 21:40:39.480572+00
373,2,748,32,0,0.532309,0.052354,0.092033,0.177538,-100,2,t,2026-08-27 21:41:39.575456+00
374,1,776,32,0,0.611447,0.312181,0.015881,0.02731,-65,9.75,t,2026-08-27 21:41:41.508127+00
375,2,752,32,0,0.532147,0.052636,0.091885,0.177878,-100,2.5,t,2026-08-27 21:42:35.874692+00
376,1,780,32,0,0.611376,0.312113,0.015797,0.027176,-66,9.25,t,2026-08-27 21:42:39.620647+00
377,2,756,32,0,0.531491,0.052545,0.091291,0.177418,-100,2.75,t,2026-08-27 21:43:35.815678+00
378,1,784,32,0,0.611436,0.312177,0.015891,0.027326,-66,10,t,2026-08-27 21:43:39.525619+00
379,2,760,32,0,0.531236,0.052813,0.091127,0.177628,-99,2.5,t,2026-08-27 21:44:35.813353+00
380,1,788,32,0,0.611375,0.31212,0.015831,0.02723,-66,9.5,t,2026-08-27 21:44:39.48166+00
381,2,764,32,0,0.530948,0.053092,0.090902,0.17783,-100,1.5,t,2026-08-27 21:45:35.816316+00
382,1,792,32,0,0.611353,0.312102,0.015816,0.027204,-66,9.5,t,2026-08-27 21:45:39.53868+00
383,2,768,32,0,0.530513,0.053005,0.090749,0.177775,-102,-0.5,t,2026-08-27 21:46:35.815529+00
384,1,796,32,0,0.611358,0.312109,0.015843,0.027246,-66,10,t,2026-08-27 21:46:39.501489+00
385,2,772,32,0,0.530454,0.053234,0.091029,0.178436,-102,-1.75,t,2026-08-27 21:47:35.812802+00
386,1,800,32,0,0.611329,0.312088,0.01583,0.027227,-66,9.25,t,2026-08-27 21:47:39.445403+00
387,2,776,32,0,0.530122,0.053069,0.091121,0.178633,-102,-1.5,t,2026-08-27 21:48:35.873079+00
388,1,804,32,0,0.611318,0.312086,0.015841,0.027244,-65,9.5,t,2026-08-27 21:48:39.407231+00
389,2,780,32,0,0.52934,0.052578,0.090953,0.178341,-102,-0.25,t,2026-08-27 21:49:35.830142+00
390,1,808,32,0,0.611369,0.31214,0.015935,0.027393,-65,10,t,2026-08-27 21:49:39.620452+00
391,2,784,32,0,0.529107,0.052592,0.091293,0.179021,-101,0.75,t,2026-08-27 21:50:35.802668+00
392,1,812,32,0,0.611348,0.312127,0.015931,0.027387,-68,9.75,t,2026-08-27 21:50:39.517814+00
