id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,received_at
5833,2,1331,30.1,68,-61,9.25,19980,t,2026-09-05 17:40:58.936989+00
5834,1,819,25.9,81.2,-94,5.25,12300,t,2026-09-05 17:41:06.326136+00
5835,2,1332,30.4,68,-61,9.75,19995,t,2026-09-05 17:41:14.103486+00
5836,1,820,25.8,81.3,-95,4.75,12315,t,2026-09-05 17:41:21.448914+00
5837,2,1333,30.2,68,-62,8.75,20010,t,2026-09-05 17:41:28.952627+00
5838,1,821,25.9,81.2,-95,4.75,12330,t,2026-09-05 17:41:36.088875+00
5839,1,822,25.9,81.3,-95,4.5,12345,t,2026-09-05 17:41:51.086927+00
5840,2,1335,30.2,68,-63,9.25,20040,t,2026-09-05 17:41:59.158367+00
5841,1,823,25.9,81.3,-95,4.75,12360,t,2026-09-05 17:42:06.195627+00
5842,2,1336,30.2,68,-59,8.75,20055,t,2026-09-05 17:42:13.932874+00
5843,1,824,25.9,81.4,-95,4.75,12375,t,2026-09-05 17:42:21.175859+00
5844,2,1337,30.3,68,-60,8.75,20070,t,2026-09-05 17:42:28.959422+00
5845,1,825,25.9,81.4,-95,4.5,12390,t,2026-09-05 17:42:36.087338+00
5846,2,1338,30.2,68,-60,8.75,20085,t,2026-09-05 17:42:44.215586+00
5847,1,826,25.9,81.4,-95,5,12405,t,2026-09-05 17:42:51.282258+00
5848,2,1339,30.6,68,-60,9.25,20100,t,2026-09-05 17:42:58.933214+00
5849,1,827,25.8,81.4,-95,4.75,12420,t,2026-09-05 17:43:06.087104+00
5850,2,1340,30.3,68,-60,8.5,20115,t,2026-09-05 17:43:13.930496+00
5851,1,828,25.9,81.6,-95,4.75,12435,t,2026-09-05 17:43:21.086843+00
5852,2,1341,30.1,68,-60,9.25,20130,t,2026-09-05 17:43:30.095978+00
5853,1,829,25.9,81.4,-94,5,12450,t,2026-09-05 17:43:36.085235+00
5854,2,1342,30.4,68,-59,9,20145,t,2026-09-05 17:43:43.929745+00
5855,1,830,25.9,81.4,-94,5,12465,t,2026-09-05 17:43:51.387003+00
5856,2,1343,30.1,68,-60,8.75,20160,t,2026-09-05 17:43:58.929151+00
5857,1,831,25.9,81.4,-95,4.75,12480,t,2026-09-05 17:44:06.211346+00
5858,2,1344,30.8,68,-60,9,20175,t,2026-09-05 17:44:14.324349+00
5859,1,832,25.9,81.4,-95,4.75,12495,t,2026-09-05 17:44:21.418518+00
5860,2,1345,30.5,68,-60,9,20190,t,2026-09-05 17:44:28.928987+00
5861,1,833,25.6,81.5,-95,4.5,12510,t,2026-09-05 17:44:36.446662+00
5862,2,1346,30.8,68,-60,8.5,20205,t,2026-09-05 17:44:43.928966+00
5863,1,834,25.9,81.5,-94,5.25,12525,t,2026-09-05 17:44:51.085975+00
5864,2,1347,30.2,68,-59,9,20220,t,2026-09-05 17:44:59.039551+00
5865,1,835,25.8,81.5,-95,4.75,12540,t,2026-09-05 17:45:06.084036+00
5866,2,1348,30.6,68,-59,9,20235,t,2026-09-05 17:45:16.184522+00
5867,1,836,25.6,81.6,-95,4.75,12555,t,2026-09-05 17:45:21.218883+00
5868,2,1349,30.4,68,-60,8.75,20250,t,2026-09-05 17:45:30.211425+00
5869,2,1350,30.1,68,-61,9,20265,t,2026-09-05 17:45:43.92834+00
5870,1,838,25.9,81.5,-95,5,12585,t,2026-09-05 17:45:51.085492+00
5871,2,1351,30.7,68,-60,8.5,20280,t,2026-09-05 17:45:58.926446+00
5872,1,839,25.8,81.5,-95,4.75,12600,t,2026-09-05 17:46:06.087132+00
5873,2,1352,30.9,68,-60,8.75,20295,t,2026-09-05 17:46:14.200232+00
5874,1,840,25.8,81.6,-94,4.75,12615,t,2026-09-05 17:46:21.304791+00
5875,2,1353,30.2,68,-59,8.75,20310,t,2026-09-05 17:46:28.925092+00
5876,1,841,25.8,81.6,-94,5,12630,t,2026-09-05 17:46:36.083715+00
5877,2,1354,30.6,68,-60,8.75,20325,t,2026-09-05 17:46:43.936333+00
5878,1,842,25.8,81.6,-95,4.5,12645,t,2026-09-05 17:46:51.08254+00
5879,2,1355,30.2,68,-59,8.75,20340,t,2026-09-05 17:46:58.925141+00
5880,1,843,25.8,81.7,-95,4.75,12660,t,2026-09-05 17:47:06.366572+00
