id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
4111,1,222,26,76.9,-99,-7.25,3345,t,,2026-09-05 13:34:40.680307+00
4112,2,347,30.2,68,-46,9,5220,t,,2026-09-05 13:34:59.271795+00
4113,1,224,26,76.9,-99,-8.5,3375,t,,2026-09-05 13:35:10.906902+00
4114,2,348,30.2,68,-45,9.5,5235,t,,2026-09-05 13:35:14.288514+00
4115,1,225,26,76.9,-99,-8.25,3390,t,,2026-09-05 13:35:25.679419+00
4116,2,349,30.3,68,-46,9.5,5250,t,,2026-09-05 13:35:29.348156+00
4117,1,226,26,76.9,-99,-7,3405,t,,2026-09-05 13:35:40.67675+00
4118,2,350,30.9,68,-45,9.5,5265,t,,2026-09-05 13:35:44.263477+00
4119,1,227,26,76.9,-99,-8.25,3420,t,,2026-09-05 13:35:56.067444+00
4120,2,351,30.9,68,-46,10,5280,t,,2026-09-05 13:35:59.260229+00
4121,1,228,26,76.9,-99,-6.5,3435,t,,2026-09-05 13:36:10.676428+00
4122,2,352,30.8,68,-46,10,5295,t,,2026-09-05 13:36:14.259966+00
4123,1,229,26,76.9,-99,-8.75,3450,t,,2026-09-05 13:36:25.679717+00
4124,2,353,30.3,69,-46,9.75,5310,t,,2026-09-05 13:36:29.263002+00
4125,1,230,26.1,77,-99,-8.25,3465,t,,2026-09-05 13:36:40.910621+00
4126,2,354,30.2,69,-46,9.5,5325,t,,2026-09-05 13:36:44.502777+00
4127,1,231,26,77,-100,-8.25,3480,t,,2026-09-05 13:36:55.678558+00
4128,2,355,30.9,69,-45,9.5,5340,t,,2026-09-05 13:36:59.450889+00
4129,1,232,26,77,-100,-7.5,3495,t,,2026-09-05 13:37:10.684436+00
4130,2,356,30.6,69,-46,9.5,5355,t,,2026-09-05 13:37:14.259417+00
4131,1,233,26,77,-100,-8.5,3510,t,,2026-09-05 13:37:25.675633+00
4132,2,357,30.4,69,-46,9.5,5370,t,,2026-09-05 13:37:29.661826+00
4133,1,234,26,77,-100,-8.5,3525,t,,2026-09-05 13:37:40.73115+00
4134,2,358,30.4,69,-46,9.5,5385,t,,2026-09-05 13:37:44.258953+00
4135,1,235,26,77,-100,-8.5,3540,t,,2026-09-05 13:37:55.980851+00
4136,2,359,30.3,69,-45,9.5,5400,t,,2026-09-05 13:37:59.25839+00
4137,1,236,26,77,-100,-8,3555,t,,2026-09-05 13:38:10.776845+00
4138,1,237,26,77.1,-100,-9.25,3570,t,,2026-09-05 13:38:25.726318+00
4139,2,361,30.3,69,-46,9.5,5430,t,,2026-09-05 13:38:29.317206+00
4140,1,238,26,77,-100,-9.5,3585,t,,2026-09-05 13:38:40.676667+00
4141,2,362,30.2,69,-46,9.25,5445,t,,2026-09-05 13:38:44.255224+00
4142,1,239,26.1,77,-100,-7.75,3600,t,,2026-09-05 13:38:55.675453+00
4143,2,363,30.8,69,-46,10,5460,t,,2026-09-05 13:38:59.27061+00
4144,1,240,26,77,-100,-8,3615,t,,2026-09-05 13:39:10.67388+00
4145,2,364,30.7,69,-47,9.25,5475,t,,2026-09-05 13:39:14.2552+00
4146,1,241,26,77,-101,-8.5,3630,t,,2026-09-05 13:39:26.913708+00
4147,2,365,30,69,-46,9.5,5490,t,,2026-09-05 13:39:29.663534+00
4148,1,242,26,77,-100,-8,3645,t,,2026-09-05 13:39:40.720995+00
4149,2,366,30.4,69,-45,9.75,5505,t,,2026-09-05 13:39:44.534374+00
4150,1,243,26,77,-100,-8.5,3660,t,,2026-09-05 13:39:55.788398+00
4151,2,367,30.3,69,-47,9.5,5520,t,,2026-09-05 13:39:59.533613+00
4152,2,368,30.1,69,-46,9.25,5535,t,,2026-09-05 13:40:14.321054+00
4153,1,245,26,77,-100,-8,3690,t,,2026-09-05 13:40:25.677776+00
4154,2,369,30.5,69,-46,9.75,5550,t,,2026-09-05 13:40:29.253171+00
4155,2,370,30.1,69,-46,9.5,5565,t,,2026-09-05 13:40:44.360269+00
4156,1,247,26,77.1,-100,-8,3720,t,,2026-09-05 13:40:55.671371+00
4157,2,371,30.4,69,-46,9.5,5580,t,,2026-09-05 13:40:59.561066+00
4158,1,248,26,77,-100,-7.75,3735,t,,2026-09-05 13:41:10.670548+00
4159,2,372,30.4,69,-46,9.5,5595,t,,2026-09-05 13:41:14.250956+00
4160,1,249,26,77.1,-100,-7.5,3750,t,,2026-09-05 13:41:25.676261+00
4161,2,373,30.3,69,-47,9.75,5610,t,,2026-09-05 13:41:29.25303+00
4162,1,250,26,77.1,-100,-7.5,3765,t,,2026-09-05 13:41:40.741554+00
4163,1,251,26.1,77.1,-101,-6.5,3780,t,,2026-09-05 13:41:55.697412+00
4164,1,252,26,77.1,-100,-6.5,3795,t,,2026-09-05 13:42:10.670243+00
4165,2,376,30.3,69,-46,9.75,5655,t,,2026-09-05 13:42:14.248544+00
4166,1,253,26,77.1,-100,-6.75,3810,t,,2026-09-05 13:42:25.802782+00
4167,2,377,30.2,69,-47,9.5,5670,t,,2026-09-05 13:42:29.355339+00
4168,1,254,26,77.1,-100,-7.25,3825,t,,2026-09-05 13:42:41.060529+00
4169,2,378,30.6,69,-47,9.75,5685,t,,2026-09-05 13:42:44.248256+00
4170,1,255,26,77.1,-100,-6.75,3840,t,,2026-09-05 13:42:55.669128+00
4171,2,379,30.7,69,-46,9.5,5700,t,,2026-09-05 13:42:59.252786+00
4172,1,256,26,77.2,-100,-7,3855,t,,2026-09-05 13:43:10.716897+00
4173,2,380,30.3,69,-47,9.5,5715,t,,2026-09-05 13:43:14.502355+00
4174,1,257,26,77.2,-100,-7.75,3870,t,,2026-09-05 13:43:25.809139+00
4175,2,381,30.3,69,-46,9.75,5730,t,,2026-09-05 13:43:29.244925+00
4176,1,258,26,77.2,-100,-7.25,3885,t,,2026-09-05 13:43:40.993291+00
4177,1,259,26,77.2,-100,-6.75,3900,t,,2026-09-05 13:43:55.714973+00
4178,2,383,30.3,69,-46,9.75,5760,t,,2026-09-05 13:43:59.245142+00
4179,2,384,30.2,69,-47,9.5,5775,t,,2026-09-05 13:44:15.165428+00
4180,1,261,26,77.2,-100,-6.75,3930,t,,2026-09-05 13:44:25.713155+00
4181,2,385,30.7,69,-46,10.5,5790,t,,2026-09-05 13:44:29.244472+00
4182,1,262,26,77.2,-100,-7.25,3945,t,,2026-09-05 13:44:40.931145+00
4183,2,386,30.6,69,-47,9.25,5805,t,,2026-09-05 13:44:44.242795+00
4184,1,263,26,77.2,-100,-8,3960,t,,2026-09-05 13:44:56.176142+00
4185,2,387,30.8,69,-46,9.75,5820,t,,2026-09-05 13:44:59.243913+00
4186,1,264,26,77.2,-100,-7.25,3975,t,,2026-09-05 13:45:10.972812+00
4187,2,388,30.9,69,-47,10.5,5835,t,,2026-09-05 13:45:14.44888+00
4188,1,265,26,77.2,-100,-6.5,3990,t,,2026-09-05 13:45:25.711578+00
4189,2,389,30.9,69,-47,10.25,5850,t,,2026-09-05 13:45:29.242302+00
4190,1,266,26,77.2,-100,-7.25,4005,t,,2026-09-05 13:45:40.710329+00
4191,2,390,30.9,69,-48,9.75,5865,t,,2026-09-05 13:45:44.553452+00
4192,1,267,26,77.2,-100,-8.75,4020,t,,2026-09-05 13:45:55.710674+00
4193,2,391,30,69,-47,9.5,5880,t,,2026-09-05 13:45:59.43124+00
4194,1,268,26,77.2,-100,-8,4035,t,,2026-09-05 13:46:10.785257+00
4195,2,392,30.1,69,-47,9.25,5895,t,,2026-09-05 13:46:14.359107+00
4196,1,269,26,77.1,-100,-8.25,4050,t,,2026-09-05 13:46:25.710462+00
4197,2,393,30.6,69,-47,9.75,5910,t,,2026-09-05 13:46:29.240939+00
4198,1,270,26,77.2,-100,-9,4065,t,,2026-09-05 13:46:40.709789+00
4199,2,394,30.6,69,-47,9,5925,t,,2026-09-05 13:46:44.240654+00
4200,1,271,26,77.2,-100,-8.25,4080,t,,2026-09-05 13:46:55.708435+00
4201,2,395,30.6,69,-48,9.5,5940,t,,2026-09-05 13:46:59.24092+00
4202,1,272,26,77.2,-100,-7.75,4095,t,,2026-09-05 13:47:10.989472+00
4203,2,396,30.5,69,-46,9.5,5955,t,,2026-09-05 13:47:14.46006+00
4204,1,273,26,77.2,-100,-9.5,4110,t,,2026-09-05 13:47:25.836405+00
4205,2,397,30.3,69,-47,9.5,5970,t,,2026-09-05 13:47:29.23973+00
4206,1,274,26,77.2,-100,-9.5,4125,t,,2026-09-05 13:47:40.710783+00
4207,2,398,30.3,69,-46,9.5,5985,t,,2026-09-05 13:47:44.473181+00
4208,1,275,26,77.2,-100,-9,4140,t,,2026-09-05 13:47:55.708427+00
4209,2,399,30.4,69,-48,9.75,6000,t,,2026-09-05 13:47:59.239141+00
4210,2,400,30.4,69,-46,9.5,6015,t,,2026-09-05 13:48:14.479968+00
4211,1,277,26,77.2,-100,-8.25,4170,t,,2026-09-05 13:48:25.707889+00
4212,2,401,30.6,69,-46,9.75,6030,t,,2026-09-05 13:48:29.377233+00
4213,1,278,26,77.2,-100,-9,4185,t,,2026-09-05 13:48:40.709626+00
4214,2,403,30.6,69,-47,9,6060,t,,2026-09-05 13:48:59.499952+00
4215,1,280,26.1,77.2,-100,-9,4215,t,,2026-09-05 13:49:10.733342+00
4216,2,404,30.7,69,-48,9.75,6075,t,,2026-09-05 13:49:14.584584+00
4217,1,281,26.1,77.1,-100,-7.5,4230,t,,2026-09-05 13:49:25.954204+00
4218,2,405,30.5,69,-47,9.5,6090,t,,2026-09-05 13:49:29.294379+00
4219,2,406,30.5,69,-47,9.5,6105,t,,2026-09-05 13:49:45.21666+00
4220,1,283,26.1,77,-100,-8,4260,t,,2026-09-05 13:49:56.117056+00
4221,2,407,30.4,69,-47,9.25,6120,t,,2026-09-05 13:49:59.296247+00
4222,1,284,26.1,77.1,-100,-7.75,4275,t,,2026-09-05 13:50:10.851163+00
4223,2,408,30.5,69,-47,9.75,6135,t,,2026-09-05 13:50:14.29353+00
4224,1,285,26.1,77.1,-100,-7.5,4290,t,,2026-09-05 13:50:25.961102+00
4225,1,287,26.1,77,-100,-8.5,4320,t,,2026-09-05 13:50:55.703591+00
4226,2,411,30.8,69,-47,9.5,6180,t,,2026-09-05 13:50:59.298001+00
4227,1,288,26.1,76.8,-100,-7.75,4335,t,,2026-09-05 13:51:11.088764+00
4228,2,412,30.7,69,-47,9.5,6195,t,,2026-09-05 13:51:14.504929+00
4229,1,289,26.1,76.7,-100,-6.75,4350,t,,2026-09-05 13:51:25.755778+00
