id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
982,1,96,32,56,0.530259,0.275027,0.044121,0.065536,-94,4.5,t,2026-09-05 14:40:07.559992+00
983,2,612,32,56,0.535367,0.280294,0.052276,0.076551,-63,10,t,2026-09-05 14:41:00.091485+00
984,1,100,32,56,0.530255,0.275022,0.044114,0.065531,-93,5,t,2026-09-05 14:41:07.052777+00
985,2,616,32,56,0.534859,0.279947,0.052452,0.076809,-63,9.75,t,2026-09-05 14:42:00.302943+00
986,1,104,32,56,0.530251,0.275018,0.044106,0.065523,-93,4.75,t,2026-09-05 14:42:06.853388+00
987,2,620,32,56,0.534238,0.279413,0.052533,0.076928,-62,10.25,t,2026-09-05 14:43:00.390073+00
988,1,108,32,56,0.530179,0.274956,0.044002,0.065403,-97,1.5,t,2026-09-05 14:43:07.069602+00
989,2,624,32,57,0.5313,0.277798,0.054825,0.0803,-58,10.25,t,2026-09-05 14:44:00.819683+00
990,1,112,32,57,0.530084,0.275007,0.044222,0.065666,-95,2.75,t,2026-09-05 14:44:07.073015+00
991,2,628,32,57,0.532979,0.279123,0.052842,0.077862,-62,9.75,t,2026-09-05 14:45:01.290951+00
992,1,116,32,57,0.527617,0.273344,0.04482,0.067106,-95,2.75,t,2026-09-05 14:45:07.284921+00
993,2,632,32,57,0.532223,0.279738,0.053679,0.079093,-58,9.5,t,2026-09-05 14:46:00.430115+00
994,1,120,32,57,0.527584,0.273331,0.044837,0.067119,-93,5.25,t,2026-09-05 14:46:06.940239+00
995,2,636,32,57,0.531023,0.279724,0.053975,0.079528,-58,10,t,2026-09-05 14:47:00.135587+00
996,1,124,32,57,0.527552,0.273315,0.04485,0.067128,-93,4.5,t,2026-09-05 14:47:07.289661+00
997,2,640,32,57,0.529306,0.279151,0.053771,0.079229,-58,10,t,2026-09-05 14:47:59.836817+00
998,1,128,32,57,0.527534,0.273318,0.044895,0.067172,-94,4.5,t,2026-09-05 14:48:07.095677+00
999,2,644,32,58,0.521692,0.280123,0.056549,0.083313,-59,10,t,2026-09-05 14:49:00.311114+00
1000,1,132,32,58,0.527273,0.273204,0.044985,0.067209,-94,4.75,t,2026-09-05 14:49:07.111758+00
1001,2,648,32,58,0.526699,0.2797,0.054225,0.080346,-59,9.75,t,2026-09-05 14:50:00.247323+00
1002,1,136,32,58,0.521357,0.273554,0.045976,0.069287,-94,5,t,2026-09-05 14:50:07.012133+00
1003,2,652,32,58,0.525285,0.27999,0.054517,0.080775,-60,9.75,t,2026-09-05 14:51:00.04812+00
1004,1,140,32,58,0.521179,0.27338,0.045723,0.068973,-94,4.75,t,2026-09-05 14:51:06.833076+00
1005,2,656,32,58,0.524159,0.280386,0.054929,0.081382,-59,9.25,t,2026-09-05 14:51:59.85642+00
1006,1,144,32,58,0.521293,0.273519,0.045968,0.069272,-94,4.5,t,2026-09-05 14:52:06.956352+00
1007,2,660,32,58,0.523415,0.280619,0.055398,0.082071,-60,9.75,t,2026-09-05 14:52:59.7031+00
1008,1,148,32,58,0.521099,0.273346,0.045734,0.068977,-94,4.5,t,2026-09-05 14:53:07.340696+00
1009,2,664,32,59,0.518497,0.280172,0.056416,0.083568,-60,10,t,2026-09-05 14:54:00.184945+00
1010,1,152,32,59,0.520898,0.273382,0.046116,0.069399,-94,4.75,t,2026-09-05 14:54:07.255354+00
1011,2,668,32,59,0.522351,0.279863,0.054798,0.081679,-60,9.75,t,2026-09-05 14:55:00.587421+00
1012,1,156,32,59,0.516715,0.273822,0.046733,0.070836,-94,4.75,t,2026-09-05 14:55:07.045631+00
1013,2,672,32,59,0.521859,0.28006,0.055272,0.082376,-59,9.75,t,2026-09-05 14:56:00.081419+00
1014,1,160,32,59,0.516652,0.273795,0.046762,0.070857,-94,4.5,t,2026-09-05 14:56:07.036926+00
1015,2,676,32,59,0.521385,0.280022,0.055628,0.082899,-60,9.25,t,2026-09-05 14:57:00.246622+00
1016,1,164,32,59,0.516593,0.273769,0.046791,0.070878,-94,5.25,t,2026-09-05 14:57:06.762508+00
1017,2,680,32,59,0.520431,0.279549,0.055495,0.082704,-60,10,t,2026-09-05 14:58:00.099123+00
1018,1,168,32,59,0.516531,0.273738,0.046814,0.070892,-94,5,t,2026-09-05 14:58:07.110097+00
1019,2,684,32,60,0.516744,0.27739,0.058005,0.086394,-59,9.75,t,2026-09-05 14:59:00.106713+00
1020,2,688,32,60,0.5161,0.276755,0.057553,0.085729,-59,10,t,2026-09-05 15:00:00.320149+00
1021,2,692,32,60,0.516291,0.27703,0.058633,0.087318,-59,10.25,t,2026-09-05 15:01:00.631863+00
1022,1,180,32,60,0.510432,0.271084,0.048215,0.074243,-94,4.5,t,2026-09-05 15:01:07.297335+00
1023,2,696,32,60,0.515239,0.275902,0.058519,0.08715,-59,9.5,t,2026-09-05 15:02:00.09365+00
1024,1,184,32,60,0.510429,0.271082,0.04821,0.074239,-93,4.5,t,2026-09-05 15:02:07.092036+00
1025,2,700,32,60,0.514476,0.275125,0.058872,0.087669,-59,9.75,t,2026-09-05 15:02:59.858004+00
1026,1,188,32,60,0.510428,0.27108,0.048207,0.074236,-94,4.75,t,2026-09-05 15:03:06.791035+00
1027,2,704,32,61,0.510439,0.271687,0.06129,0.091224,-59,10,t,2026-09-05 15:04:00.251092+00
1028,1,192,32,61,0.510429,0.271074,0.048199,0.074237,-93,4.75,t,2026-09-05 15:04:07.21249+00
1029,2,708,32,61,0.513757,0.274721,0.059103,0.089139,-59,9.5,t,2026-09-05 15:05:00.145069+00
1030,1,196,32,61,0.507129,0.268075,0.049594,0.076352,-94,4,t,2026-09-05 15:05:07.215776+00
1031,2,712,32,61,0.51317,0.274446,0.05964,0.08993,-59,9.75,t,2026-09-05 15:06:00.055017+00
1032,1,200,32,61,0.507124,0.26807,0.049585,0.076341,-94,4.5,t,2026-09-05 15:06:11.934272+00
1033,2,716,32,61,0.512054,0.273626,0.05937,0.089533,-60,9.75,t,2026-09-05 15:06:59.809627+00
1034,1,204,32,61,0.507119,0.268065,0.049576,0.076332,-94,4.75,t,2026-09-05 15:07:07.235682+00
1035,2,720,32,61,0.511432,0.273213,0.059729,0.09006,-59,10,t,2026-09-05 15:07:59.924926+00
1036,1,208,32,61,0.507122,0.268066,0.049577,0.076334,-93,5,t,2026-09-05 15:08:06.73374+00
1037,2,724,32,62,0.506948,0.270792,0.061502,0.092667,-60,9.5,t,2026-09-05 15:09:00.386636+00
1038,1,212,32,62,0.507093,0.268073,0.049577,0.076345,-94,4.5,t,2026-09-05 15:09:07.090828+00
1039,2,728,32,62,0.510209,0.272818,0.05967,0.090581,-60,10.5,t,2026-09-05 15:10:00.073645+00
1040,1,216,32,62,0.50378,0.266201,0.050494,0.078268,-94,4.5,t,2026-09-05 15:10:06.944692+00
1041,2,732,32,62,0.509785,0.27256,0.060267,0.091459,-59,9.5,t,2026-09-05 15:11:01.281603+00
1042,1,220,32,62,0.503765,0.266202,0.050492,0.078269,-94,4.5,t,2026-09-05 15:11:06.953915+00
1043,2,736,32,62,0.50926,0.272036,0.060661,0.092039,-59,12.25,t,2026-09-05 15:12:00.087482+00
1044,1,224,32,62,0.503753,0.266201,0.05049,0.078269,-94,4.25,t,2026-09-05 15:12:07.013667+00
1045,2,740,32,62,0.508736,0.271706,0.061201,0.092832,-60,9.75,t,2026-09-05 15:13:00.720462+00
1046,1,228,32,62,0.503744,0.266202,0.05049,0.078271,-94,4,t,2026-09-05 15:13:07.211969+00
1047,2,744,32,63,0.504407,0.26881,0.062754,0.095116,-59,9.25,t,2026-09-05 15:14:00.172786+00
1048,1,232,32,63,0.503711,0.266214,0.05049,0.078282,-94,4.5,t,2026-09-05 15:14:07.584209+00
1049,2,748,32,63,0.507283,0.271047,0.060866,0.09294,-56,9.5,t,2026-09-05 15:15:00.221981+00
1050,1,236,32,63,0.500687,0.264149,0.051367,0.080208,-96,2.75,t,2026-09-05 15:15:07.282043+00
1051,1,240,32,63,0.500698,0.264172,0.051401,0.080251,-95,3.25,t,2026-09-05 15:16:07.189067+00
1052,2,756,32,63,0.506024,0.271057,0.061743,0.094036,-59,10.25,t,2026-09-05 15:17:00.540523+00
1053,1,244,32,63,0.500674,0.264152,0.051377,0.080221,-94,4.25,t,2026-09-05 15:17:06.905044+00
1054,2,760,32,63,0.505441,0.27122,0.062312,0.094515,-59,9.5,t,2026-09-05 15:18:00.238787+00
1055,1,248,32,63,0.500671,0.26415,0.051377,0.080218,-94,4.25,t,2026-09-05 15:18:06.894126+00
1056,2,764,32,64,0.499425,0.271205,0.063937,0.094964,-59,9.75,t,2026-09-05 15:18:59.767501+00
1057,1,252,32,64,0.500634,0.264143,0.051407,0.080234,-94,4.5,t,2026-09-05 15:19:06.495905+00
1058,2,768,32,64,0.503485,0.271611,0.062255,0.094128,-60,9.75,t,2026-09-05 15:20:01.236992+00
1059,1,256,32,64,0.496723,0.26437,0.052515,0.081229,-94,4.5,t,2026-09-05 15:20:06.493355+00
1060,2,772,32,64,0.503276,0.272033,0.063098,0.095055,-59,9.5,t,2026-09-05 15:21:00.263339+00
1061,1,260,32,64,0.496712,0.264362,0.052512,0.081221,-94,4.25,t,2026-09-05 15:21:07.22259+00
1062,2,776,32,64,0.502334,0.271454,0.062979,0.09458,-60,10,t,2026-09-05 15:21:59.957794+00
1063,1,264,32,64,0.496703,0.264359,0.052521,0.081225,-94,4.25,t,2026-09-05 15:22:07.162217+00
1064,2,780,32,64,0.501858,0.271627,0.06362,0.095339,-60,9.5,t,2026-09-05 15:23:00.080519+00
1065,1,268,32,64,0.496742,0.264402,0.052605,0.081321,-94,4.25,t,2026-09-05 15:23:07.339644+00
1066,2,784,32,65,0.496759,0.271972,0.065555,0.097568,-59,9.75,t,2026-09-05 15:23:59.924964+00
1067,1,276,32,65,0.489459,0.264674,0.05415,0.083489,-94,4.5,t,2026-09-05 15:25:07.088801+00
1068,2,792,32,65,0.495439,0.271224,0.065341,0.097254,-59,9,t,2026-09-05 15:25:59.883646+00
1069,1,280,32,65,0.489441,0.264662,0.054152,0.083482,-94,5.25,t,2026-09-05 15:26:07.154051+00
1070,2,796,32,65,0.495001,0.271118,0.0659,0.098075,-58,10,t,2026-09-05 15:27:00.204787+00
1071,1,284,32,65,0.48943,0.264655,0.054155,0.08348,-93,5,t,2026-09-05 15:27:06.954096+00
1072,2,800,32,65,0.494203,0.270846,0.066157,0.098454,-58,9.25,t,2026-09-05 15:28:00.204885+00
