node_id,n,tmin,tmax,rssi_moy,snr_moy,w0_moy,w1_moy,w2_moy,w3_moy
1,147,2026-08-31 17:30:31.278242+00,2026-08-31 20:07:31.063221+00,-67.7,9.59,0.611786,0.311945,0.018179,0.023903
2,131,2026-08-31 17:30:29.344976+00,2026-08-31 20:07:29.014194+00,-100.1,-4.99,0.610161,0.020612,0.099140,0.154435
