node_id,n,tmin,tmax,rssi_moy,snr_moy,rssi_med,rssi_min,rssi_max,t_moy,h_moy,n_ko
1,579,2026-08-31 17:30:15.900305+00,2026-08-31 20:07:45.678816+00,-68.7,9.52,-65.0,-91,-63,24.75,76.03,0
2,515,2026-08-31 17:30:13.837623+00,2026-08-31 20:07:43.546703+00,-100.7,-5.11,-101.0,-106,-98,29.44,63.54,0
