id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
2942,1,529,24.4,77.2,-65,9.5,7950,t,,2026-08-31 19:34:00.728977+00
2943,2,522,29.2,63,-101,-5.75,7845,t,,2026-08-31 19:34:13.607885+00
2944,1,530,24.4,77.2,-65,9.5,7965,t,,2026-08-31 19:34:15.726155+00
2945,2,523,29.2,63,-100,-5,7860,t,,2026-08-31 19:34:28.609055+00
2946,1,531,24.4,77.2,-64,10.25,7980,t,,2026-08-31 19:34:30.724667+00
2947,2,524,29.5,64,-101,-6.5,7875,t,,2026-08-31 19:34:43.608823+00
2948,1,532,24.4,77.2,-65,9.25,7995,t,,2026-08-31 19:34:45.725247+00
2949,2,525,29.9,64,-101,-7.25,7890,t,,2026-08-31 19:34:58.606494+00
2950,1,533,24.4,77.2,-65,9.5,8010,t,,2026-08-31 19:35:00.724925+00
2951,2,526,29.9,64,-102,-8.25,7905,t,,2026-08-31 19:35:13.605593+00
2952,1,534,24.4,77.3,-65,9.5,8025,t,,2026-08-31 19:35:15.724893+00
2953,2,527,29.8,64,-102,-7.75,7920,t,,2026-08-31 19:35:28.606127+00
2954,1,535,24.4,77.3,-65,9.25,8040,t,,2026-08-31 19:35:30.723996+00
2955,2,528,29.1,63,-101,-7.5,7935,t,,2026-08-31 19:35:43.605908+00
2956,1,536,24.4,77.4,-66,9,8055,t,,2026-08-31 19:35:45.723275+00
2957,2,529,29.5,64,-101,-6,7950,t,,2026-08-31 19:35:58.605128+00
2958,1,537,24.4,77.5,-65,9.25,8070,t,,2026-08-31 19:36:00.724066+00
2959,2,530,29.2,64,-101,-6.5,7965,t,,2026-08-31 19:36:13.604665+00
2960,1,538,24.4,77.5,-65,9.5,8085,t,,2026-08-31 19:36:15.723145+00
2961,2,531,29.3,64,-101,-7,7980,t,,2026-08-31 19:36:28.606236+00
2962,1,539,24.4,77.5,-64,9.75,8100,t,,2026-08-31 19:36:30.723092+00
2963,2,532,29.9,64,-101,-7,7995,t,,2026-08-31 19:36:43.603777+00
2964,1,540,24.4,77.6,-65,9.5,8115,t,,2026-08-31 19:36:45.72173+00
2965,2,533,29.7,64,-101,-6.25,8010,t,,2026-08-31 19:36:58.603067+00
2966,1,541,24.4,77.6,-65,9.75,8130,t,,2026-08-31 19:37:00.721553+00
2967,2,534,29.4,64,-101,-6.75,8025,t,,2026-08-31 19:37:13.60228+00
2968,1,542,24.4,77.6,-65,9,8145,t,,2026-08-31 19:37:15.721175+00
2969,2,535,29.8,64,-101,-5.25,8040,t,,2026-08-31 19:37:28.601981+00
2970,1,543,24.4,77.6,-65,9.5,8160,t,,2026-08-31 19:37:30.72014+00
2971,1,544,24.4,77.6,-66,9.25,8175,t,,2026-08-31 19:37:45.723996+00
2972,2,537,29.8,64,-101,-5.75,8070,t,,2026-08-31 19:37:58.602405+00
2973,1,545,24.4,77.6,-65,9,8190,t,,2026-08-31 19:38:00.722565+00
2974,2,538,29.6,64,-101,-6.75,8085,t,,2026-08-31 19:38:13.601787+00
2975,1,546,24.4,77.6,-65,8.75,8205,t,,2026-08-31 19:38:15.719945+00
2976,2,539,29.7,64,-101,-9,8100,t,,2026-08-31 19:38:28.599486+00
2977,1,547,24.4,77.6,-64,9.5,8220,t,,2026-08-31 19:38:30.721729+00
2978,2,540,29.8,64,-101,-8.5,8115,t,,2026-08-31 19:38:43.599587+00
2979,1,548,24.4,77.7,-65,9.75,8235,t,,2026-08-31 19:38:45.719055+00
2980,2,541,29.5,64,-101,-5.25,8130,t,,2026-08-31 19:38:58.59985+00
2981,1,549,24.4,77.7,-67,9.5,8250,t,,2026-08-31 19:39:00.718343+00
2982,2,542,29.3,64,-101,-7.75,8145,t,,2026-08-31 19:39:13.598122+00
2983,1,550,24.4,77.8,-64,9.5,8265,t,,2026-08-31 19:39:15.720322+00
2984,2,543,29.7,64,-100,-2.25,8160,t,,2026-08-31 19:39:28.598757+00
2985,1,551,24.4,77.8,-68,9.25,8280,t,,2026-08-31 19:39:30.718947+00
2986,1,552,24.4,77.9,-64,9.25,8295,t,,2026-08-31 19:39:45.720443+00
2987,1,553,24.4,77.9,-63,9.5,8310,t,,2026-08-31 19:40:00.717389+00
2988,2,546,29.6,64,-101,-8.25,8205,t,,2026-08-31 19:40:13.595462+00
2989,1,554,24.4,77.9,-65,9.5,8325,t,,2026-08-31 19:40:15.717627+00
2990,2,547,29.5,64,-101,-8.5,8220,t,,2026-08-31 19:40:28.596907+00
2991,1,555,24.3,77.9,-65,9.75,8340,t,,2026-08-31 19:40:30.717277+00
2992,2,548,29,64,-102,-9,8235,t,,2026-08-31 19:40:43.59517+00
2993,1,556,24.3,77.9,-65,9.25,8355,t,,2026-08-31 19:40:45.716313+00
2994,2,549,29.4,64,-102,-10,8250,t,,2026-08-31 19:40:58.595645+00
2995,1,557,24.3,77.9,-65,9.75,8370,t,,2026-08-31 19:41:00.71445+00
2996,2,550,29.7,64,-101,-9.75,8265,t,,2026-08-31 19:41:13.595688+00
2997,1,558,24.3,77.9,-65,9.5,8385,t,,2026-08-31 19:41:15.715884+00
2998,2,551,29.3,64,-102,-9,8280,t,,2026-08-31 19:41:28.595592+00
2999,1,559,24.3,78,-65,9.75,8400,t,,2026-08-31 19:41:30.716014+00
3000,1,560,24.3,78.1,-65,10.25,8415,t,,2026-08-31 19:41:45.715508+00
3001,1,561,24.3,78.1,-65,9.5,8430,t,,2026-08-31 19:42:00.714506+00
3002,2,554,29.7,64,-102,-9.25,8325,t,,2026-08-31 19:42:13.593578+00
3003,1,562,24.2,78.2,-64,9.5,8445,t,,2026-08-31 19:42:15.715152+00
3004,2,555,29.4,64,-101,-9.75,8340,t,,2026-08-31 19:42:28.594214+00
3005,1,563,24.3,78.2,-65,9.25,8460,t,,2026-08-31 19:42:30.714495+00
3006,1,564,24.2,78.3,-65,9.5,8475,t,,2026-08-31 19:42:45.713427+00
3007,1,565,24.2,78.3,-64,9,8490,t,,2026-08-31 19:43:00.712989+00
3008,2,558,29.6,64,-102,-10.25,8385,t,,2026-08-31 19:43:13.591198+00
3009,1,566,24.2,78.3,-65,9.75,8505,t,,2026-08-31 19:43:15.713457+00
3010,2,559,29.1,63,-101,-8,8400,t,,2026-08-31 19:43:28.590221+00
3011,1,567,24.2,78.3,-65,9.25,8520,t,,2026-08-31 19:43:30.712716+00
3012,1,568,24.2,78.3,-64,9.5,8535,t,,2026-08-31 19:43:45.713063+00
3013,2,561,29.6,64,-102,-9.5,8430,t,,2026-08-31 19:43:58.591202+00
3014,1,569,24.2,78.3,-65,9.5,8550,t,,2026-08-31 19:44:00.712376+00
3015,1,570,24.2,78.4,-65,9.25,8565,t,,2026-08-31 19:44:15.71829+00
3016,1,571,24.2,78.4,-65,9.5,8580,t,,2026-08-31 19:44:30.711187+00
3017,2,564,29.5,64,-102,-9.25,8475,t,,2026-08-31 19:44:43.588168+00
3018,1,572,24.2,78.4,-65,9.25,8595,t,,2026-08-31 19:44:45.71086+00
3019,1,573,24.2,78.5,-64,9.25,8610,t,,2026-08-31 19:45:00.714261+00
3020,1,574,24.2,78.7,-65,9,8625,t,,2026-08-31 19:45:15.710271+00
3021,1,575,24.2,78.7,-65,9.25,8640,t,,2026-08-31 19:45:30.710118+00
3022,2,568,29.5,64,-102,-9.25,8535,t,,2026-08-31 19:45:43.586801+00
3023,1,576,24.2,78.7,-65,9.5,8655,t,,2026-08-31 19:45:45.710763+00
3024,1,577,24.2,78.7,-65,9.75,8670,t,,2026-08-31 19:46:00.709901+00
3025,2,570,29.3,64,-102,-9.75,8565,t,,2026-08-31 19:46:13.588551+00
3026,1,578,24.2,78.7,-65,9.5,8685,t,,2026-08-31 19:46:15.71029+00
3027,2,571,29.7,64,-102,-9.75,8580,t,,2026-08-31 19:46:28.585963+00
3028,1,579,24.1,78.7,-65,9.5,8700,t,,2026-08-31 19:46:31.301879+00
3029,1,580,24.1,78.8,-65,9.25,8715,t,,2026-08-31 19:46:45.708385+00
3030,2,573,29.9,64,-102,-9.25,8610,t,,2026-08-31 19:46:58.584819+00
3031,1,581,24.2,78.8,-65,9.75,8730,t,,2026-08-31 19:47:00.708509+00
3032,1,582,24.2,78.8,-64,9.25,8745,t,,2026-08-31 19:47:15.708786+00
3033,2,575,29.7,64,-102,-8.75,8640,t,,2026-08-31 19:47:28.584016+00
3034,1,583,24.2,78.8,-65,9.25,8760,t,,2026-08-31 19:47:30.708368+00
3035,2,576,29.3,64,-101,-9,8655,t,,2026-08-31 19:47:43.583091+00
3036,1,584,24.2,78.7,-65,9.75,8775,t,,2026-08-31 19:47:45.707773+00
3037,1,585,24.2,78.7,-65,9.5,8790,t,,2026-08-31 19:48:00.70647+00
3038,1,586,24.1,78.7,-65,9,8805,t,,2026-08-31 19:48:15.707406+00
3039,2,579,29.1,64,-101,-9.25,8700,t,,2026-08-31 19:48:28.582383+00
3040,1,587,24.1,78.8,-65,9,8820,t,,2026-08-31 19:48:30.705427+00
3041,2,580,29.1,64,-101,-9.25,8715,t,,2026-08-31 19:48:43.581349+00
3042,1,588,24.1,78.8,-65,9,8835,t,,2026-08-31 19:48:45.7062+00
3043,1,589,24.1,78.8,-65,9,8850,t,,2026-08-31 19:49:00.705596+00
3044,2,582,29.6,64,-102,-9.5,8745,t,,2026-08-31 19:49:13.579979+00
3045,1,590,24.1,78.9,-65,9.25,8865,t,,2026-08-31 19:49:15.705617+00
3046,2,583,29.6,64,-101,-9.5,8760,t,,2026-08-31 19:49:28.581092+00
3047,1,591,24.1,78.9,-65,9.25,8880,t,,2026-08-31 19:49:30.705039+00
3048,1,592,24.1,78.9,-65,9,8895,t,,2026-08-31 19:49:45.704638+00
3049,1,593,24.1,79,-65,9.25,8910,t,,2026-08-31 19:50:00.703529+00
3050,1,594,24.1,79.2,-64,9.5,8925,t,,2026-08-31 19:50:15.703737+00
3051,1,595,24.1,79.3,-65,9.75,8940,t,,2026-08-31 19:50:30.703067+00
3052,2,588,29.1,64,-101,-9.5,8835,t,,2026-08-31 19:50:43.57786+00
3053,1,596,24.1,79.4,-66,9.75,8955,t,,2026-08-31 19:50:45.703875+00
3054,1,597,24.1,79.4,-65,9.25,8970,t,,2026-08-31 19:51:00.70327+00
3055,2,590,29.9,64,-102,-9.25,8865,t,,2026-08-31 19:51:13.576524+00
3056,1,598,24.1,79.6,-65,9.75,8985,t,,2026-08-31 19:51:15.701801+00
3057,2,591,29.8,64,-102,-9,8880,t,,2026-08-31 19:51:28.576014+00
3058,1,599,24.2,79.7,-65,9,9000,t,,2026-08-31 19:51:30.701309+00
3059,2,592,29.6,64,-102,-9.25,8895,t,,2026-08-31 19:51:43.575769+00
3060,1,600,24.1,79.4,-65,9.25,9015,t,,2026-08-31 19:51:45.703105+00
3061,1,601,24.2,79.6,-65,9,9030,t,,2026-08-31 19:52:00.702675+00
3062,2,594,29.5,64,-102,-9.75,8925,t,,2026-08-31 19:52:13.575789+00
3063,1,602,24.2,79.6,-65,9.5,9045,t,,2026-08-31 19:52:15.701356+00
3064,1,603,24.2,79.6,-65,9.75,9060,t,,2026-08-31 19:52:30.700922+00
3065,2,596,29.7,64,-102,-9.75,8955,t,,2026-08-31 19:52:43.573326+00
3066,1,604,24.2,79.6,-65,9.75,9075,t,,2026-08-31 19:52:45.700408+00
3067,1,605,24.2,79.5,-65,9.5,9090,t,,2026-08-31 19:53:00.700462+00
3068,2,598,29.7,64,-101,-9.25,8985,t,,2026-08-31 19:53:13.824198+00
3069,1,606,24.2,79.7,-65,9.5,9105,t,,2026-08-31 19:53:15.699393+00
3070,2,599,29.7,64,-101,-9.5,9000,t,,2026-08-31 19:53:28.574228+00
3071,1,607,24.2,79.8,-65,9.5,9120,t,,2026-08-31 19:53:30.697833+00
3072,2,600,29.7,64,-102,-9.25,9015,t,,2026-08-31 19:53:43.572451+00
3073,1,608,24.2,79.8,-65,9,9135,t,,2026-08-31 19:53:45.698862+00
3074,1,609,24.3,79.6,-65,9.25,9150,t,,2026-08-31 19:54:00.698185+00
3075,1,610,24.3,79.5,-65,9.25,9165,t,,2026-08-31 19:54:15.700245+00
3076,2,603,29,64,-102,-9,9060,t,,2026-08-31 19:54:28.571642+00
3077,1,611,24.3,79.5,-64,9.5,9180,t,,2026-08-31 19:54:31.024537+00
3078,2,604,29.7,64,-102,-8.25,9075,t,,2026-08-31 19:54:43.570261+00
3079,1,612,24.3,79.6,-65,9.5,9195,t,,2026-08-31 19:54:45.69787+00
3080,2,605,29.6,64,-102,-8.75,9090,t,,2026-08-31 19:54:58.571095+00
3081,1,613,24.2,79.7,-65,10,9210,t,,2026-08-31 19:55:00.706002+00
3082,2,606,29.6,64,-102,-9.25,9105,t,,2026-08-31 19:55:13.577508+00
3083,1,614,24.3,79.5,-65,9,9225,t,,2026-08-31 19:55:15.697244+00
3084,1,615,24.3,79.5,-64,12.25,9240,t,,2026-08-31 19:55:30.696363+00
3085,2,608,29.6,64,-102,-7.75,9135,t,,2026-08-31 19:55:43.566855+00
3086,1,616,24.3,79.6,-64,9.75,9255,t,,2026-08-31 19:55:45.695121+00
3087,2,609,29.4,64,-101,-6.75,9150,t,,2026-08-31 19:55:58.567671+00
3088,1,617,24.3,79.7,-64,9.75,9270,t,,2026-08-31 19:56:00.694414+00
3089,2,610,29.9,64,-102,-8.25,9165,t,,2026-08-31 19:56:13.567721+00
3090,1,618,24.3,79.7,-64,10,9285,t,,2026-08-31 19:56:15.694915+00
3091,1,619,24.3,79.7,-65,10,9300,t,,2026-08-31 19:56:30.695401+00
3092,2,612,29,64,-101,-8,9195,t,,2026-08-31 19:56:43.566978+00
3093,1,620,24.3,79.7,-64,9.5,9315,t,,2026-08-31 19:56:45.695267+00
3094,2,613,29.6,64,-101,-8.5,9210,t,,2026-08-31 19:56:58.56559+00
3095,1,621,24.3,79.7,-64,9.75,9330,t,,2026-08-31 19:57:00.694144+00
3096,2,614,29.7,64,-102,-8.75,9225,t,,2026-08-31 19:57:13.568474+00
3097,1,622,24.3,79.9,-65,9.5,9345,t,,2026-08-31 19:57:15.69409+00
3098,1,623,24.2,80.3,-65,9.25,9360,t,,2026-08-31 19:57:30.693141+00
3099,2,616,29.7,64,-101,-8.5,9255,t,,2026-08-31 19:57:43.56424+00
3100,1,624,24.2,80,-65,10.25,9375,t,,2026-08-31 19:57:45.692826+00
3101,2,617,29.7,64,-102,-8,9270,t,,2026-08-31 19:57:58.564033+00
3102,1,625,24.2,80,-65,9.5,9390,t,,2026-08-31 19:58:00.690941+00
3103,2,618,29.6,64,-102,-7.75,9285,t,,2026-08-31 19:58:13.563778+00
3104,1,626,24.2,80.2,-64,9.75,9405,t,,2026-08-31 19:58:15.692587+00
3105,2,619,29.7,64,-101,-8.5,9300,t,,2026-08-31 19:58:28.56429+00
3106,1,627,24.2,80.2,-64,9.25,9420,t,,2026-08-31 19:58:30.692195+00
3107,2,620,29.7,64,-102,-8.5,9315,t,,2026-08-31 19:58:43.563465+00
3108,1,628,24.2,80.3,-64,9.75,9435,t,,2026-08-31 19:58:45.693526+00
3109,1,629,24.2,80.3,-65,9.25,9450,t,,2026-08-31 19:59:00.691111+00
3110,2,622,29.7,64,-101,-8.5,9345,t,,2026-08-31 19:59:13.562712+00
3111,1,630,24.2,80.3,-65,9.75,9465,t,,2026-08-31 19:59:15.68956+00
3112,1,631,24.2,80.3,-65,9.5,9480,t,,2026-08-31 19:59:30.690864+00
3113,2,624,29.6,64,-101,-8.5,9375,t,,2026-08-31 19:59:43.561026+00
3114,1,632,24.1,80,-65,9.5,9495,t,,2026-08-31 19:59:45.690547+00
3115,2,625,29.6,64,-101,-7.75,9390,t,,2026-08-31 19:59:58.559171+00
3116,1,633,24.1,80,-65,9.25,9510,t,,2026-08-31 20:00:00.68896+00
3117,2,626,29.5,64,-102,-8,9405,t,,2026-08-31 20:00:13.560685+00
